Name,StarNameFString,CatalogFString,RightAscenstion,Declination,OptionalVisualMagnitude,Parallax,ProperMotionInDeclination,ProperMotionInRightAscension,RadialVelocity
HR 4671,Eps Mus,BSC,184.3921,-67.9608, 4.11,0.046,-0.025,-0.244,7
HR 5771,Eps TrA,BSC,234.18,-66.3169, 4.11,0.038,-0.055,0.023,-16
HR 4522,,BSC,176.6283,-61.1783, 4.11,0.011,-0.015,-0.027,-3
HR 3055,,BSC,117.3096,-46.3733, 4.11,,0.006,0,24
HR 8560,Del2Gru,BSC,337.4396,-43.7494, 4.11,-0.005,0,-0.007,2
HR 794,Iot Eri,BSC,40.1667,-39.8556, 4.11,0.038,-0.032,0.138,-9
HR 7259,Bet CrA,BSC,287.5071,-39.3408, 4.11,0.016,-0.038,0.003,3
HR 7254,Alp CrA,BSC,287.3679,-37.9044, 4.11,0.036,-0.098,0.084,-18
HR 7980,18Ome Cap,BSC,312.9554,-26.9192, 4.11,0.001,-0.001,-0.006,9
HR 1066,5    Tau,BSC,52.7183,12.9367, 4.11,-0.012,-0.002,0.02,15
HR 8747,Zet Gru,BSC,345.22,-52.7542, 4.12,0.039,-0.014,-0.067,-1
HR 2657,23Gam CMa,BSC,105.9396,-15.6333, 4.12,,-0.008,-0.002,32
HR 3903,39Ups1Hya,BSC,147.8696,-14.8467, 4.12,0.021,-0.026,0.017,-15
HR 4608,9Omi Vir,BSC,181.3021,8.7331, 4.12,0.039,0.046,-0.22,-30
HR 2124,61Mu  Ori,BSC,90.5958,9.6475, 4.12,0.028,-0.028,0.015,45
HR 799,13The Per,BSC,41.05,49.2283, 4.12,0.077,-0.089,0.336,25
HR 6905,Zet Tel,BSC,277.2079,-49.0708, 4.13,0.027,-0.242,0.144,-31
HR 7581,Iot Sgr,BSC,298.8154,-41.8683, 4.13,0.035,0.056,0.017,36
HR 8969,17Iot Psc,BSC,354.9875,5.6264, 4.13,0.075,-0.438,0.378,5
HR 8315,10Kap Peg,BSC,326.1613,25.645, 4.13,0.035,0.01,0.034,-8
HR 8498,1    Lac,BSC,333.9925,37.7489, 4.13,0.003,0.004,0.013,-8
HR 3426,,BSC,129.4113,-42.9892, 4.14,0.018,0.008,-0.006,19
HR 7936,16Psi Cap,BSC,311.5237,-25.2708, 4.14,0.098,-0.157,-0.05,26
HR 1784,29    Ori,BSC,80.9867,-7.8081, 4.14,0.011,-0.043,-0.015,-18
HR 5778,4The CrB,BSC,233.2325,31.3592, 4.14,0.027,-0.011,-0.019,-25
HR 8976,19Kap And,BSC,355.1021,44.3339, 4.14,0.018,-0.019,0.083,-9
HR 1303,51Mu  Per,BSC,63.7246,48.4094, 4.14,0.017,-0.018,0.005,8
HR 8630,Bet Oct,BSC,341.5138,-81.3817, 4.15,,-0.001,-0.067,24
HR 4616,Eta Cru,BSC,181.7204,-64.6136, 4.15,0.053,-0.037,0.033,9
HR 5908,46The Lib,BSC,238.4563,-16.7294, 4.15,0.036,0.133,0.099,3
HR 2714,22Del Mon,BSC,107.9662,-0.4928, 4.15,0.016,0.005,-0.001,15
HR 2343,18Nu  Gem,BSC,97.2408,20.2122, 4.15,0.009,-0.014,-0.007,39
HR 5947,13Eps CrB,BSC,239.3971,26.8778, 4.15,0.024,-0.061,-0.076,-31
HR 6166,,BSC,249.0938,-35.2556, 4.16,0.022,0,0.022,-2
HR 8499,43The Aqr,BSC,334.2083,-7.7833, 4.16,0.021,-0.022,0.121,-15
HR 3410,4Del Hya,BSC,129.4142,5.7036, 4.16,0.033,-0.007,-0.066,11
HR 2134,1    Gem,BSC,91.03,23.2633, 4.16,0.031,-0.1,-0.008,20
HR 130,15Kap Cas,BSC,8.25,62.9317, 4.16,,-0.003,0.003,-2
HR 1195,,BSC,57.3638,-36.2003, 4.17,0.025,-0.051,-0.046,2
HR 8628,18Eps PsA,BSC,340.1642,-27.0436, 4.17,,-0.001,0.03,3
HR 6486,44    Oph,BSC,261.5925,-24.1753, 4.17,0.045,-0.116,0,-37
HR 1156,23    Tau,BSC,56.5817,23.9483, 4.18,,-0.045,0.021,6
HR 2852,62Rho Gem,BSC,112.2779,31.7844, 4.18,0.062,0.175,0.155,-4
HR 5351,19Lam Boo,BSC,214.0958,46.0883, 4.18,0.045,0.161,-0.187,-8
HR 5192,2    Cen,BSC,207.3613,-34.4508, 4.19,0.031,-0.057,-0.042,41
HR 5315,98Kap Vir,BSC,213.2242,-10.2736, 4.19,0.022,0.14,0.008,-4
HR 8665,46Xi  Peg,BSC,341.6733,12.1728, 4.19,0.052,-0.498,0.235,-5
HR 7061,110    Her,BSC,281.4154,20.5464, 4.19,0.052,-0.335,-0.008,24
HR 8494,23Eps Cep,BSC,333.7583,57.0436, 4.19,0.041,0.048,0.447,-1
HR 3102,11    Pup,BSC,119.2146,-22.88, 4.20,0.023,0.009,-0.026,14
HR 1839,32    Ori,BSC,82.6963,5.9481, 4.20,0.005,-0.034,0.012,19
HR 6168,35Sig Her,BSC,248.5258,42.4369, 4.20,0.01,0.046,-0.011,-11
HR 8720,23Del PsA,BSC,343.9871,-32.5397, 4.21,0.021,0.031,0.018,-12
HR 8841,91Psi1Aqr,BSC,348.9729,-9.0878, 4.21,0.049,-0.016,0.372,-26
HR 1949,50Zet Ori,BSC,85.19,-1.9428, 4.21,0.024,-0.002,0.004,13
HR 4100,31Bet LMi,BSC,156.9708,36.7072, 4.21,0.022,-0.101,-0.118,6
HR 1035,,BSC,52.2671,59.9403, 4.21,,-0.004,-0.003,-7
HR 8181,Gam Pav,BSC,321.6108,-65.3661, 4.22,0.111,0.799,0.079,-30
HR 7074,Lam Pav,BSC,283.0542,-62.1875, 4.22,,-0.014,-0.006,9
HR 8834,90Phi Aqr,BSC,348.5808,-6.0489, 4.22,0.01,-0.196,0.042,0
HR 7063,Bet Sct,BSC,281.7938,-4.7478, 4.22,0.019,-0.016,-0.004,-22
HR 1387,65Kap1Tau,BSC,66.3421,22.2939, 4.22,0.025,-0.048,0.096,40
HR 7942,52    Cyg,BSC,311.4154,30.7197, 4.22,0.015,0.028,-0.01,-1
HR 7850,2The Cep,BSC,307.3954,62.9942, 4.22,0.038,-0.013,0.044,-7
HR 6920,43Phi Dra,BSC,275.1896,71.3378, 4.22,0.012,0.04,-0.004,-16
HR 77,Zet Tuc,BSC,5.0179,-64.8747, 4.23,0.134,1.164,1.705,9
HR 5987,The Lup,BSC,241.6479,-36.8022, 4.23,,-0.029,-0.017,15
HR 6143,,BSC,247.8454,-34.7044, 4.23,,-0.017,-0.009,1
HR 5168,1    Cen,BSC,206.4217,-33.0439, 4.23,0.051,-0.146,-0.462,-22
HR 1173,27Tau6Eri,BSC,56.7121,-23.2497, 4.23,0.059,-0.529,-0.158,7
HR 7564,Chi Cyg,BSC,297.6412,32.9142, 4.23,0.012,-0.04,-0.027,-2
HR 840,16    Per,BSC,42.6463,38.3186, 4.23,0.024,-0.105,0.197,14
HR 8143,67Sig Cyg,BSC,319.3542,39.3947, 4.23,0.011,-0.003,0.001,-4
HR 1087,37Psi Per,BSC,54.1225,48.1928, 4.23,,-0.026,0.024,-1
HR 8335,81Pi 2Cyg,BSC,326.6983,49.3094, 4.23,-0.001,-0.002,0.004,-12
HR 6322,22Eps UMi,BSC,251.4921,82.0372, 4.23,0.01,0.006,0.017,-11
HR 6163,Bet Aps,BSC,250.7692,-77.5175, 4.24,0.034,-0.35,-0.287,-30
HR 3090,,BSC,118.3258,-48.1031, 4.24,,0.001,0.004,41
HR 7747,5Alp1Cap,BSC,304.4121,-12.5083, 4.24,0.006,0.001,0.023,-26
HR 1338,Gam Dor,BSC,64.0067,-51.4867, 4.25,0.061,0.182,0.106,25
HR 721,Kap Eri,BSC,36.7463,-47.7039, 4.25,,-0.01,0.023,28
HR 4104,Alp Ant,BSC,156.7879,-31.0678, 4.25,0.024,0.011,-0.075,12
HR 811,89Pi  Cet,BSC,41.0308,-13.8586, 4.25,,-0.015,-0.008,15
HR 1458,88    Tau,BSC,68.9137,10.1608, 4.25,0.036,-0.046,0.055,29
HR 3572,65Alp Cnc,BSC,134.6217,11.8578, 4.25,0.024,-0.031,0.034,-14
HR 1454,58    Per,BSC,69.1725,41.2647, 4.25,0.016,-0.016,-0.005,5
HR 3275,31    Lyn,BSC,125.7087,43.1881, 4.25,0.023,-0.096,-0.021,24
HR 335,42Phi And,BSC,17.3758,47.2419, 4.25,0.003,-0.009,0.01,0
HR 5430,5    UMi,BSC,216.8813,75.6961, 4.25,0.019,0.023,0.009,10
HR 285,,BSC,17.1863,86.2569, 4.25,,-0.012,0.076,9
HR 4674,Bet Cha,BSC,184.5862,-79.3122, 4.26,,0.017,-0.048,23
HR 6581,56Omi Ser,BSC,265.3538,-12.8753, 4.26,0.006,-0.052,-0.069,-30
HR 5264,93Tau Vir,BSC,210.4117,1.5444, 4.26,0.024,-0.021,0.018,-2
HR 510,110Omi Psc,BSC,26.3483,9.1578, 4.26,0.023,0.048,0.073,14
HR 4983,43Bet Com,BSC,197.9683,27.8781, 4.26,0.12,0.882,-0.801,6
HR 4785,8Bet CVn,BSC,188.4354,41.3575, 4.26,0.117,0.292,-0.705,7
HR 6023,11Phi Her,BSC,242.1925,44.935, 4.26,0.02,0.038,-0.025,-16
HR 2091,35Pi  Aur,BSC,89.9837,45.9369, 4.26,0.003,-0.005,0,1
HR 4942,Xi 2Cen,BSC,196.7275,-49.9061, 4.27,,-0.012,-0.026,14
HR 5683,Mu  Lup,BSC,229.6333,-47.875, 4.27,0.013,-0.038,-0.026,15
HR 3206,Gam1Vel,BSC,122.3721,-47.3458, 4.27,,-0.005,-0.004,20
HR 1008,,BSC,49.9821,-43.0697, 4.27,0.156,0.725,3.043,87
HR 4889,,BSC,193.3592,-40.1789, 4.27,0.056,-0.022,0.063,-3
HR 1088,19Tau5Eri,BSC,53.4471,-21.6328, 4.27,,-0.027,0.048,14
HR 8418,33Iot Aqr,BSC,331.6092,-13.8697, 4.27,,-0.056,0.042,-10
HR 1679,69Lam Eri,BSC,77.2867,-8.7542, 4.27,-0.003,-0.004,0.002,3
HR 813,87Mu  Cet,BSC,41.2354,10.1142, 4.27,0.046,-0.036,0.284,30
HR 1473,90    Tau,BSC,69.5396,12.5108, 4.27,0.024,-0.013,0.103,45
HR 7948,12Gam2Del,BSC,311.6646,16.1242, 4.27,0.026,-0.197,-0.032,-7
HR 4180,,BSC,159.8267,-55.6033, 4.28,0.023,0.005,-0.019,20
HR 8787,The Gru,BSC,346.72,-43.5206, 4.28,0.017,-0.023,-0.039,10
HR 4552,Bet Hya,BSC,178.2275,-33.9081, 4.28,0.01,0.005,-0.05,-1
HR 8167,32Iot Cap,BSC,320.5617,-16.8344, 4.28,0.033,0.004,0.033,12
HR 6147,8Phi Oph,BSC,247.7846,-16.6128, 4.28,0.014,-0.035,-0.051,-34
HR 1101,10    Tau,BSC,54.2183,0.4017, 4.28,0.054,-0.483,-0.233,28
HR 8916,10The Psc,BSC,351.9921,6.3789, 4.28,0.016,-0.045,-0.121,6
HR 294,71Eps Psc,BSC,15.7358,7.89, 4.28,0.027,0.023,-0.078,7
HR 718,73Xi 2Cet,BSC,37.0396,8.46, 4.28,0.03,-0.009,0.04,11
HR 1392,69Ups Tau,BSC,66.5771,22.8136, 4.28,0.036,-0.046,0.107,35
HR 1497,94Tau Tau,BSC,70.5612,22.9569, 4.28,0.017,-0.016,-0.002,15
HR 2973,75Sig Gem,BSC,115.8279,28.8836, 4.28,0.018,-0.232,0.065,46
HR 7343,Bet2Sgr,BSC,290.805,-44.7997, 4.29,0.03,-0.054,0.097,19
HR 6546,,BSC,264.1367,-38.6353, 4.29,0.018,-0.201,-0.012,-49
HR 8576,17Bet PsA,BSC,337.8763,-32.3461, 4.29,0.021,-0.018,0.065,6
HR 6492,45    Oph,BSC,261.8387,-29.8669, 4.29,0.021,-0.139,0.02,37
HR 1756,6Lam Lep,BSC,79.8938,-13.1767, 4.29,0,-0.003,-0.001,20
HR 1320,49Mu  Tau,BSC,63.8838,8.8922, 4.29,,-0.024,0.021,17
HR 1389,68Del3Tau,BSC,66.3725,17.9281, 4.29,0.019,-0.028,0.108,35
HR 8454,29Pi 2Peg,BSC,332.4967,33.1783, 4.29,0.007,-0.021,-0.014,2
HR 8965,17Iot And,BSC,354.5342,43.2681, 4.29,0.011,-0.001,0.029,-1
HR 1261,47Lam Per,BSC,61.6458,50.3514, 4.29,,-0.036,-0.015,6
HR 8334,10Nu  Cep,BSC,326.3621,61.1208, 4.29,0.013,-0.003,-0.003,-21
HR 8417,17Xi  Cep,BSC,330.9475,64.6278, 4.29,0.032,0.085,0.209,-6
HR 1542,9Alp Cam,BSC,73.5125,66.3428, 4.29,-0.002,0.006,0,6
HR 3751,,BSC,144.2717,81.3264, 4.29,0.017,-0.014,-0.019,-5
HR 4471,91Ups Leo,BSC,174.2371,-0.8239, 4.30,0.019,0.043,0.004,1
HR 3454,7Eta Hya,BSC,130.8062,3.3986, 4.30,,-0.001,-0.019,17
HR 1145,19    Tau,BSC,56.3021,24.4672, 4.30,,-0.045,0.018,6
HR 7139,12Del2Lyr,BSC,283.6258,36.8989, 4.30,-0.001,0.01,-0.009,-26
HR 7740,33    Cyg,BSC,303.3496,56.5678, 4.30,0.021,0.083,0.063,-18
HR 280,Alp Scl,BSC,14.6517,-29.3575, 4.31,,0.004,0.022,10
HR 4775,8Eta Crv,BSC,188.0175,-16.1961, 4.31,0.052,-0.061,-0.426,-4
HR 3773,4Lam Leo,BSC,142.93,22.9681, 4.31,0.02,-0.033,-0.021,27
HR 5733,51Mu 1Boo,BSC,231.1225,37.3772, 4.31,0.039,0.087,-0.146,-13
HR 5339,Del Oct,BSC,216.7287,-83.6678, 4.32,,-0.007,-0.105,5
HR 4537,,BSC,177.4212,-63.7883, 4.32,,0.006,-0.021,29
HR 5528,Omi Lup,BSC,222.91,-43.5756, 4.32,,-0.027,-0.02,7
HR 5997,10Ome2Sco,BSC,241.8513,-20.8686, 4.32,0.021,-0.038,0.041,-5
HR 1496,54    Eri,BSC,70.1104,-19.6717, 4.32,0.008,-0.096,0.021,-33
HR 3484,12    Hya,BSC,131.5938,-13.5478, 4.32,0.013,-0.011,0.016,-8
HR 7884,71    Aql,BSC,309.5846,-1.1053, 4.32,0.01,-0.022,0.015,-6
HR 2854,4Gam CMi,BSC,112.0408,8.9256, 4.32,0.019,0.017,-0.062,47
HR 5903,16Zet UMi,BSC,236.0146,77.7944, 4.32,0.016,-0.001,0.02,-13
HR 4599,The1Cru,BSC,180.7563,-63.3128, 4.33,0.021,0.008,-0.15,-2
HR 3457,,BSC,130.1542,-59.7611, 4.33,,0,-0.001,13
HR 5358,,BSC,215.0813,-56.3867, 4.33,,-0.009,-0.014,4
HR 4888,,BSC,193.2787,-48.9433, 4.33,0.02,-0.03,-0.076,-2
HR 5797,Ome Lup,BSC,234.5133,-42.5675, 4.33,0.017,0.057,-0.153,-7
HR 2387,4Xi 1CMa,BSC,97.9638,-23.4183, 4.33,,0.012,-0.006,27
HR 6446,53Nu  Ser,BSC,260.2071,-12.8469, 4.33,0.028,0.004,0.042,5
HR 596,113Alp Psc,BSC,30.5117,2.7636, 4.33,0.005,-0.005,0.033,9
HR 6872,1Kap Lyr,BSC,274.9654,36.0644, 4.33,0.011,0.043,-0.015,-22
HR 343,33The Cas,BSC,17.7758,55.1497, 4.33,0.014,-0.022,0.229,9
HR 3696,,BSC,139.0508,-57.5414, 4.34,0.025,-0.007,-0.014,-5
HR 5260,Ups2Cen,BSC,210.4308,-45.6036, 4.34,0.013,-0.019,0.002,-1
HR 8305,9Iot PsA,BSC,326.2367,-33.0258, 4.34,0.041,-0.094,0.034,2
HR 5686,2    Lup,BSC,229.4579,-30.1489, 4.34,0.018,-0.01,-0.008,-4
HR 3188,29Zet Mon,BSC,122.1483,-2.9839, 4.34,0.003,-0.005,-0.017,30
HR 6498,49Sig Oph,BSC,261.6288,4.1403, 4.34,0.008,0.007,0.004,-27
HR 8313,9    Peg,BSC,326.1279,17.35, 4.34,0.008,-0.013,0.012,-22
HR 3340,The Cha,BSC,125.1604,-77.4844, 4.35,0.036,0.042,-0.134,22
HR 3223,Eps Vol,BSC,121.9825,-68.6172, 4.35,,0.025,-0.026,10
HR 2015,Del Dor,BSC,86.1933,-65.7356, 4.35,0.027,0.008,-0.031,-3
HR 6745,Pi  Pav,BSC,272.145,-63.6683, 4.35,0.036,-0.188,0.013,-16
HR 3836,,BSC,144.2067,-49.3553, 4.35,0.019,0.025,-0.125,21
HR 5396,Tau2Lup,BSC,216.545,-45.3794, 4.35,0.002,-0.008,0.016,-1
HR 898,The2Eri,BSC,44.5679,-40.3044, 4.35,0.035,0.018,-0.064,19
HR 951,57Del Ari,BSC,47.9075,19.7267, 4.35,0.027,-0.011,0.152,25
HR 2219,44Kap Aur,BSC,93.8446,29.4981, 4.35,0.018,-0.262,-0.073,20
HR 2560,15    Lyn,BSC,104.3187,58.4225, 4.35,0.014,-0.135,-0.005,9
HR 6855,Xi  Pav,BSC,275.8067,-61.4939, 4.36,0.016,0.003,0.001,12
HR 191,Eta Phe,BSC,10.8383,-57.4631, 4.36,0.046,0.011,-0.006,2
HR 5285,Chi Cen,BSC,211.5117,-41.1797, 4.36,,-0.02,-0.017,12
HR 2106,Gam Col,BSC,89.3842,-35.2833, 4.36,,0.009,0,24
HR 1705,4Kap Lep,BSC,78.3079,-12.9414, 4.36,0.034,-0.009,-0.014,18
HR 7447,41Iot Aql,BSC,294.1804,-1.2864, 4.36,0.004,-0.018,0.004,-21
HR 3492,13Rho Hya,BSC,132.1083,5.8378, 4.36,0.014,-0.034,-0.017,33
HR 1544,2Pi 2Ori,BSC,72.6529,8.9003, 4.36,0.036,-0.032,0.004,24
HR 7069,111    Her,BSC,281.7554,18.1814, 4.36,0.032,0.116,0.073,-45
HR 6787,102    Her,BSC,272.1896,20.8144, 4.36,-0.01,-0.005,-0.001,-15
HR 1256,37    Tau,BSC,61.1738,22.0819, 4.36,0.013,-0.059,0.09,9
HR 4737,15Gam Com,BSC,186.7346,28.2683, 4.36,0.003,-0.08,-0.083,4
HR 154,29Pi  And,BSC,9.2204,33.7194, 4.36,-0.003,-0.004,0.015,9
HR 7056,6Zet1Lyr,BSC,281.1933,37.605, 4.36,0.031,0.024,0.028,-26
HR 7314,21The Lyr,BSC,289.0921,38.1336, 4.36,0.013,0.004,-0.001,-31
HR 8572,5    Lac,BSC,337.3825,47.7069, 4.36,0.006,0,0.002,-4
HR 1052,35Sig Per,BSC,52.6437,47.9953, 4.36,0.004,0.02,0.004,16
HR 6789,23Del UMi,BSC,263.0537,86.5864, 4.36,0.004,0.056,0.009,-8
HR 126,Bet1Tuc,BSC,7.8863,-62.9581, 4.37,0.03,-0.054,0.09,14
HR 8937,Bet Scl,BSC,353.2429,-37.8183, 4.37,,0.021,0.087,2
HR 7623,The1Sgr,BSC,299.9342,-35.2764, 4.37,,-0.026,0.006,1
HR 2256,Kap Col,BSC,94.1379,-35.1406, 4.37,0.025,0.086,0,24
HR 2596,20Iot CMa,BSC,104.0342,-17.0542, 4.37,0.005,0.002,-0.003,41
HR 649,65Xi 1Cet,BSC,33.25,8.8467, 4.37,0.022,-0.009,-0.022,-4
HR 3980,31    Leo,BSC,151.9763,9.9975, 4.37,,-0.061,-0.08,41
HR 7488,6Bet Sge,BSC,295.2621,17.4761, 4.37,0.011,-0.032,0.01,-22
HR 7479,5Alp Sge,BSC,295.0242,18.0139, 4.37,0,-0.021,0.014,2
HR 163,30Eps And,BSC,9.6388,29.3117, 4.37,0.031,-0.254,-0.227,-84
HR 4963,51The Vir,BSC,197.4875,-5.5389, 4.38,0.026,-0.033,-0.032,-3
HR 6281,25Iot Oph,BSC,253.5021,10.1653, 4.38,0.029,-0.036,-0.051,-21
HR 1845,119    Tau,BSC,83.0533,18.5944, 4.38,0.002,-0.001,0.002,23
HR 8140,The Ind,BSC,319.9667,-53.4497, 4.39,0.043,-0.072,0.105,-15
HR 2435,,BSC,98.7442,-52.9756, 4.39,,0.007,-0.003,23
HR 4293,,BSC,165.0388,-42.2258, 4.39,0.003,0.003,0.028,-5
HR 6445,40Xi  Oph,BSC,260.2508,-21.1128, 4.39,0.061,-0.206,0.232,-9
HR 8906,99    Aqr,BSC,351.5117,-20.6419, 4.39,0.007,-0.058,-0.052,16
HR 8858,93Psi2Aqr,BSC,349.4758,-9.1825, 4.39,,-0.012,0.021,-6
HR 1560,61Ome Eri,BSC,73.2237,-5.4528, 4.39,0.013,0.021,-0.023,-6
HR 3145,,BSC,120.5663,2.3344, 4.39,0.024,0.105,-0.031,71
HR 7298,20Eta Lyr,BSC,288.4396,39.1461, 4.39,0.002,0.002,0.004,-8
HR 7750,1Kap Cep,BSC,302.2221,77.7114, 4.39,0.001,0.024,0.011,-23
HR 8368,Del Ind,BSC,329.4796,-54.9925, 4.40,0.02,-0.007,0.048,15
HR 2554,,BSC,102.4638,-53.6222, 4.40,0.025,0.03,0,26
HR 2782,30Tau CMa,BSC,109.6767,-24.9542, 4.40,,0.01,-0.009,40
HR 3192,16    Pup,BSC,122.2567,-19.245, 4.40,,-0.002,-0.014,19
HR 5601,110    Vir,BSC,225.725,2.0914, 4.40,0.025,0.016,-0.054,-16
HR 8905,68Ups Peg,BSC,351.345,23.4042, 4.40,0.036,0.037,0.193,-11
HR 3129,,BSC,119.56,-49.245, 4.41,,0.008,-0.011,19
HR 555,Psi Phe,BSC,28.4117,-46.3025, 4.41,0.011,-0.087,-0.086,2
HR 8863,Gam Scl,BSC,349.7058,-32.5319, 4.41,0.043,-0.07,0.019,16
HR 5526,58    Hya,BSC,222.5721,-27.9603, 4.41,0.011,-0.059,-0.241,-10
HR 9089,30    Psc,BSC,0.49,-6.0142, 4.41,0.006,-0.041,0.051,-12
HR 1876,37Phi1Ori,BSC,83.705,9.4894, 4.41,0,-0.004,0.002,33
HR 2047,54Chi1Ori,BSC,88.5954,20.2761, 4.41,0.104,-0.084,-0.189,-14
HR 6526,76Lam Her,BSC,262.6846,26.1106, 4.41,0.016,0.018,0.02,-26
HR 6707,94Nu  Her,BSC,269.6258,30.1894, 4.41,0.007,0.007,0,-22
HR 2697,46Tau Gem,BSC,107.785,30.2453, 4.41,0.007,-0.045,-0.03,22
HR 4375,53Xi  UMa,BSC,169.5458,31.5292, 4.41,0.137,-0.586,-0.43,-16
HR 8819,33Pi  Cep,BSC,346.9746,75.3875, 4.41,0.006,-0.03,0.012,-19
HR 5425,Sig Lup,BSC,218.1537,-50.4569, 4.42,,-0.01,-0.043,-2
HR 5378,,BSC,215.7592,-39.5122, 4.42,,-0.032,-0.027,8
HR 6118,7Chi Oph,BSC,246.7558,-18.4564, 4.42,,-0.022,-0.002,-3
HR 1162,26Pi  Eri,BSC,56.5354,-12.1017, 4.42,0,0.058,0.048,46
HR 7951,3    Aqr,BSC,311.9342,-5.0278, 4.42,0.008,-0.04,0.003,-22
HR 8559,55Zet2Aqr,BSC,337.2087,-0.02, 4.42,0.022,0.042,0.209,25
HR 2159,67Nu  Ori,BSC,91.8929,14.7683, 4.42,-0.032,-0.021,0.006,24
HR 4300,60    Leo,BSC,165.5825,20.1797, 4.42,0.017,0.042,-0.006,-10
HR 271,38Eta And,BSC,14.3017,23.4175, 4.42,0.009,-0.048,-0.044,-10
HR 2443,8Nu 3CMa,BSC,99.4725,-18.2375, 4.43,0.013,-0.007,-0.01,-2
HR 1325,40Omi2Eri,BSC,63.8179,-7.6528, 4.43,0.209,-3.414,-2.242,-42
HR 5868,27Lam Ser,BSC,236.6108,7.3531, 4.43,0.094,-0.067,-0.223,-66
HR 224,63Del Psc,BSC,12.1708,7.585, 4.43,0.019,-0.052,0.085,32
HR 5478,30Zet Boo,BSC,220.2871,13.7283, 4.43,0.009,-0.016,0.053,-6
HR 7928,11Del Del,BSC,310.8646,15.0744, 4.43,0.013,-0.043,-0.019,9
HR 7806,39    Cyg,BSC,305.9654,32.19, 4.43,0.014,-0.005,0.049,-15
HR 8146,66Ups Cyg,BSC,319.4796,34.8969, 4.43,0.019,-0.002,0.014,4
HR 8538,3Bet Lac,BSC,335.89,52.2292, 4.43,0.021,-0.186,-0.013,-10
HR 7107,Kap Pav,BSC,284.2375,-67.2336, 4.44,0.01,0.012,-0.01,38
HR 1355,Eps Ret,BSC,64.1204,-59.3019, 4.44,0.067,-0.164,-0.051,29
HR 3243,,BSC,123.5121,-40.3481, 4.44,0.01,-0.068,0.047,14
HR 48,7    Cet,BSC,3.66,-18.9328, 4.44,0.029,-0.067,-0.024,-23
HR 3418,5Sig Hya,BSC,129.6892,3.3414, 4.44,0.035,-0.018,-0.018,25
HR 2298,8Eps Mon,BSC,95.9421,4.5928, 4.44,0.025,0.011,-0.018,15
HR 489,106Nu  Psc,BSC,25.3579,5.4875, 4.44,0.041,0.002,-0.021,0
HR 7405,6Alp Vul,BSC,292.1762,24.665, 4.44,0.014,-0.106,-0.125,-86
HR 4234,Del2Cha,BSC,161.445,-80.5403, 4.45,,0.008,-0.049,23
HR 4159,,BSC,158.8971,-57.5578, 4.45,0.026,0,-0.023,10
HR 1502,Alp Cae,BSC,70.1404,-41.8639, 4.45,0.045,-0.077,-0.141,-1
HR 3591,,BSC,135.0225,-41.2539, 4.45,0.03,0.045,-0.039,-7
HR 3225,,BSC,122.8396,-39.6186, 4.45,-0.006,-0.004,0,16
HR 3270,,BSC,124.6387,-36.6594, 4.45,0.057,0.097,-0.106,5
HR 2906,,BSC,113.5133,-22.2961, 4.45,0.054,0.046,-0.04,61
HR 6153,9Ome Oph,BSC,248.0342,-21.4664, 4.45,0.028,0.039,0.028,3
HR 1696,3Iot Lep,BSC,78.0746,-11.8692, 4.45,,-0.015,0.027,25
HR 6723,68    Oph,BSC,270.4383,1.3053, 4.45,0.021,-0.012,0.015,6
HR 7429,38Mu  Aql,BSC,293.5225,7.3789, 4.45,0.045,-0.157,0.216,-24
HR 7352,60Tau Dra,BSC,288.8875,73.3556, 4.45,0.015,0.107,-0.14,-30
HR 4546,,BSC,177.7863,-45.1736, 4.46,0.022,-0.01,-0.07,2
HR 8411,Lam Gru,BSC,331.5287,-39.5433, 4.46,0.013,-0.124,-0.023,39
HR 8695,22Gam PsA,BSC,343.1317,-32.8756, 4.46,0.043,-0.025,-0.03,17
HR 841,Bet For,BSC,42.2725,-32.4058, 4.46,0.026,0.155,0.09,17
HR 1698,17Rho Ori,BSC,78.3229,2.8611, 4.46,-0.01,-0.006,0.001,41
HR 3731,1Kap Leo,BSC,141.1638,26.1822, 4.46,-0.003,-0.048,-0.033,28
HR 5447,28Sig Boo,BSC,218.67,29.745, 4.46,0.068,0.132,0.189,0
HR 8632,11    Lac,BSC,340.1288,44.2764, 4.46,0.01,0.012,0.094,-10
HR 4618,,BSC,182.0217,-50.6614, 4.47,,-0.01,-0.035,17
HR 6115,Eps Nor,BSC,246.7962,-47.555, 4.47,,-0.03,-0.005,-12
HR 8789,86    Aqr,BSC,346.6704,-23.7431, 4.47,0.028,-0.003,0.066,15
HR 818,1Tau1Eri,BSC,41.2758,-18.5725, 4.47,0.072,0.038,0.33,26
HR 4368,74Phi Leo,BSC,169.1654,-3.6517, 4.47,0.019,-0.036,-0.108,-3
HR 1601,10Pi 6Ori,BSC,74.6371,1.7142, 4.47,0.018,-0.003,-0.002,14
HR 2506,18    Mon,BSC,101.965,2.4122, 4.47,0.017,-0.012,-0.018,11
HR 999,,BSC,50.085,29.0483, 4.47,-0.008,-0.016,-0.008,-2
HR 1568,7    Cam,BSC,74.3217,53.7522, 4.47,0,0.007,-0.024,-8
HR 1155,,BSC,57.38,65.5261, 4.47,0.014,-0.013,-0.007,-3
HR 3643,,BSC,136.2867,-72.6028, 4.48,0.024,-0.005,-0.013,22
