Name,StarNameFString,CatalogFString,RightAscenstion,Declination,OptionalVisualMagnitude,Parallax,ProperMotionInDeclination,ProperMotionInRightAscension,RadialVelocity
HR 8634,42Zet Peg,BSC,340.3654,10.8314, 3.40,0.023,-0.013,0.08,7
HR 1412,78The2Tau,BSC,67.1654,15.8708, 3.40,0.029,-0.025,0.103,40
HR 5649,Zet Lup,BSC,228.0712,-52.0992, 3.41,0.043,-0.073,-0.112,-10
HR 429,Gam Phe,BSC,22.0912,-43.3183, 3.41,0,-0.209,-0.014,26
HR 5190,Nu  Cen,BSC,207.3763,-41.6878, 3.41,,-0.021,-0.022,9
HR 5948,Eta Lup,BSC,240.0304,-38.3969, 3.41,0.008,-0.032,-0.022,8
HR 544,2Alp Tri,BSC,28.2704,29.5789, 3.41,0.057,-0.235,0.011,-13
HR 7913,Bet Pav,BSC,311.2396,-66.2031, 3.42,0.035,0.012,-0.046,10
HR 6623,86Mu  Her,BSC,266.6146,27.7206, 3.42,0.108,-0.751,-0.311,-16
HR 7957,3Eta Cep,BSC,311.3225,61.8389, 3.43,0.071,0.818,0.087,-87
HR 3659,,BSC,137.7417,-58.9669, 3.44,,0.008,-0.026,23
HR 7236,16Lam Aql,BSC,286.5621,-4.8825, 3.44,0.032,-0.09,-0.017,-12
HR 4031,36Zet Leo,BSC,154.1725,23.4172, 3.44,0.017,-0.007,0.018,-16
HR 219,24Eta Cas,BSC,12.275,57.8158, 3.44,0.176,-0.529,1.1,9
HR 334,31Eta Cet,BSC,17.1475,-10.1822, 3.45,0.041,-0.138,0.218,12
HR 7106,10Bet Lyr,BSC,282.52,33.3628, 3.45,-0.002,-0.003,0.003,-19
HR 4033,33Lam UMa,BSC,154.2742,42.9144, 3.45,0.03,-0.038,-0.164,18
HR 3117,Chi Car,BSC,119.1946,-52.9822, 3.47,0.004,0.021,-0.029,19
HR 2646,22Sig CMa,BSC,105.4296,-27.9347, 3.47,0.024,0.005,-0.005,22
HR 804,86Gam Cet,BSC,40.825,3.2358, 3.47,0.052,-0.152,-0.142,-5
HR 1239,35Lam Tau,BSC,60.17,12.4903, 3.47,0.002,-0.012,-0.006,18
HR 7635,12Gam Sge,BSC,299.6892,19.4922, 3.47,0.013,0.024,0.066,-33
HR 5681,49Del Boo,BSC,228.8758,33.3147, 3.47,0.03,-0.112,0.086,-12
HR 6406,64Alp1Her,BSC,258.6621,14.3903, 3.48,-0.002,0.036,-0.006,-33
HR 8684,48Mu  Peg,BSC,342.5008,24.6017, 3.48,0.04,-0.042,0.147,14
HR 4377,54Nu  UMa,BSC,169.6196,33.0942, 3.48,0.02,0.028,-0.026,-9
HR 8675,Eps Gru,BSC,342.1388,-51.3169, 3.49,0.044,-0.071,0.108,0
HR 509,52Tau Cet,BSC,26.0171,-15.9375, 3.50,0.275,0.856,-1.718,-16
