---,StarNameFString,CatalogFString,StarNumberInt,RightAscenstion,Declination,ProperMotionInRightAscension,ProperMotionInDeclination,Parallax,RadialVelocity,OptionalVisualMagnitude
HR6913,22Lam Sgr,BSC,0,276.9925,-25.4217,-0.044,-0.185,0.053,-43,2.81
HR3185,15Rho Pup,BSC,0,121.8858,-24.3042,-0.083,0.049,0.035,46,2.81
HR6212,40Zet Her,BSC,0,250.3217,31.6031,-0.47,0.394,0.102,-70,2.81
HR6165,23Tau Sco,BSC,0,248.9708,-28.2161,-0.008,-0.022,0.02,2,2.82
HR4932,47Eps Vir,BSC,0,195.5442,10.9592,-0.273,0.02,0.043,-14,2.83
HR39,88Gam Peg,BSC,0,3.3092,15.1836,0.003,-0.012,-0.002,4,2.83
HR1829,9Bet Lep,BSC,0,82.0612,-20.7594,-0.004,-0.089,0.02,-14,2.84
HR5897,Bet TrA,BSC,0,238.7854,-63.4306,-0.191,-0.398,0.083,0,2.85
HR6461,Bet Ara,BSC,0,261.325,-55.53,-0.008,-0.025,0.034,0,2.85
HR1203,44Zet Per,BSC,0,58.5329,31.8836,0.006,-0.01,0.01,20,2.85
HR591,Alp Hyi,BSC,0,29.6925,-61.5697,0.264,0.027,0.048,1,2.86
HR8502,Alp Tuc,BSC,0,334.6254,-60.2597,-0.072,-0.043,0.026,42,2.86
HR8322,49Del Cap,BSC,0,326.76,-16.1272,0.263,-0.297,0.087,-6,2.87
HR1165,25Eta Tau,BSC,0,56.8713,24.105,0.019,-0.046,0.008,10,2.87
HR7528,18Del Cyg,BSC,0,296.2437,45.1308,0.053,0.047,0.03,-20,2.87
HR2286,13Mu  Gem,BSC,0,95.74,22.5136,0.054,-0.111,0.02,55,2.88
HR2890,66Alp Gem,BSC,0,113.65,31.8886,-0.172,-0.099,0.067,-1,2.88
HR5671,Gam TrA,BSC,0,229.7275,-68.6794,-0.072,-0.031,0.01,-3,2.89
HR5944,6Pi  Sco,BSC,0,239.7129,-26.1142,-0.011,-0.026,0.01,-3,2.89
HR6084,20Sig Sco,BSC,0,245.2971,-25.5928,-0.01,-0.021,,3,2.89
HR7264,41Pi  Sgr,BSC,0,287.4408,-21.0236,0,-0.035,0.026,-10,2.89
HR1220,45Eps Per,BSC,0,59.4633,40.0103,0.018,-0.026,0.009,1,2.89
HR2845,3Bet CMi,BSC,0,111.7875,8.2894,-0.052,-0.038,0.019,22,2.9
HR4915,12Alp2CVn,BSC,0,194.0071,38.3183,-0.234,0.056,0.027,-3,2.9
HR8232,22Bet Aqr,BSC,0,322.8896,-5.5711,0.021,-0.008,0.006,7,2.91
HR2553,Tau Pup,BSC,0,102.4842,-50.6147,0.036,-0.07,,36,2.93
HR915,23Gam Per,BSC,0,46.1992,53.5064,0,-0.005,0.016,3,2.93
HR8650,44Eta Peg,BSC,0,340.7504,30.2214,0.015,-0.025,0.017,4,2.94
HR6510,Alp Ara,BSC,0,262.9604,-49.8761,-0.031,-0.07,0.007,0,2.95
HR4757,7Del Crv,BSC,0,187.4662,-16.5156,-0.21,-0.138,0.024,9,2.95
HR1231,34Gam Eri,BSC,0,59.5075,-13.5086,0.061,-0.111,0.01,62,2.95
HR8414,34Alp Aqr,BSC,0,331.4458,-0.3197,0.02,-0.01,0.012,8,2.96
HR3873,17Eps Leo,BSC,0,146.4629,23.7742,-0.046,-0.011,0.01,4,2.98
HR2473,27Eps Gem,BSC,0,100.9829,25.1311,-0.006,-0.013,0.017,10,2.98
HR6746,10Gam2Sgr,BSC,0,271.4521,-30.4242,-0.053,-0.185,0.025,22,2.99
HR7235,17Zet Aql,BSC,0,286.3525,13.8633,-0.005,-0.096,0.045,-25,2.99
HR1605,7Eps Aur,BSC,0,75.4921,43.8233,-0.001,-0.004,0.007,-3,2.99
HR5020,46Gam Hya,BSC,0,199.7304,-23.1717,0.064,-0.045,0.027,-5,3
HR4630,2Eps Crv,BSC,0,182.5312,-22.6197,-0.071,0.014,0.027,5,3
HR1910,123Zet Tau,BSC,0,84.4112,21.1425,0,-0.021,0.008,20,3
HR622,4Bet Tri,BSC,0,32.3858,34.9872,0.15,-0.04,0.022,10,3
HR3890,Ups Car,BSC,0,146.7754,-65.0719,-0.012,0.011,0.027,14,3.01
HR8353,Gam Gru,BSC,0,328.4821,-37.365,0.102,-0.021,0.013,-2,3.01
HR4335,52Psi UMa,BSC,0,167.4158,44.4986,-0.065,-0.028,,-4,3.01
HR1122,39Del Per,BSC,0,55.7313,47.7875,0.028,-0.034,0.016,4,3.01
HR2282,1Zet CMa,BSC,0,95.0783,-30.0633,0.009,0.003,0.004,32,3.02
HR2653,24Omi2CMa,BSC,0,105.7562,-23.8333,-0.004,0.003,,48,3.02
HR6615,Iot1Sco,BSC,0,266.8962,-40.1269,0,-0.008,0.019,-28,3.03
HR5435,27Gam Boo,BSC,0,218.0196,38.3083,-0.114,0.153,0.025,-37,3.03
HR5193,Mu  Cen,BSC,0,207.4042,-42.4739,-0.023,-0.02,,9,3.04
HR681,68Omi Cet,BSC,0,34.8363,-2.9775,-0.008,-0.237,0.024,64,3.04
HR4844,Bet Mus,BSC,0,191.5704,-68.1081,-0.039,-0.017,0.015,42,3.05
HR4069,34Mu  UMa,BSC,0,155.5821,41.4994,-0.082,0.035,0.035,-21,3.05
HR5735,13Gam UMi,BSC,0,230.1821,71.8339,-0.019,0.02,0.003,-4,3.05
HR7310,57Del Dra,BSC,0,288.1388,67.6617,0.094,0.093,0.032,25,3.07
HR6247,Mu 1Sco,BSC,0,252.9675,-38.0475,-0.011,-0.025,,-25,3.08
HR7776,9Bet Cap,BSC,0,305.2529,-14.7814,0.042,0.002,0.01,-19,3.08
HR7417,6Bet1Cyg,BSC,0,292.6804,27.9597,0.002,-0.002,0.017,-24,3.08
HR7869,Alp Ind,BSC,0,309.3917,-47.2914,0.053,0.066,0.046,-1,3.11
HR6832,Eta Sgr,BSC,0,274.4067,-36.7617,-0.128,-0.167,0.045,1,3.11
HR4232,Nu  Hya,BSC,0,162.4062,-16.1936,0.094,0.2,0.028,-1,3.11
HR3547,16Zet Hya,BSC,0,133.8483,5.9456,-0.099,0.014,0.035,23,3.11
HR2040,Bet Col,BSC,0,87.74,-35.7683,0.059,0.401,0.023,89,3.12
HR4467,Lam Cen,BSC,0,173.945,-63.0197,-0.041,-0.005,,-1,3.13
HR3803,,BSC,0,142.8054,-57.0344,-0.032,0.004,0.022,-14,3.13
HR6285,Zet Ara,BSC,0,254.655,-55.9903,-0.019,-0.036,0.044,-6,3.13
HR5576,Kap Cen,BSC,0,224.7904,-42.1042,-0.019,-0.024,,8,3.13
HR3705,40Alp Lyn,BSC,0,140.2637,34.3925,-0.221,0.019,0.025,38,3.13
HR6410,65Del Her,BSC,0,258.7579,24.8392,-0.021,-0.157,0.044,-40,3.14
HR3569,9Iot UMa,BSC,0,134.8017,48.0417,-0.444,-0.226,0.075,9,3.14
HR6418,67Pi  Her,BSC,0,258.7617,36.8092,-0.026,0.004,0.025,-26,3.16
HR2451,Nu  Pup,BSC,0,99.4404,-43.1961,0.002,-0.006,,28,3.17
HR7039,27Phi Sgr,BSC,0,281.4142,-26.9908,0.053,0,,22,3.17
HR1641,10Eta Aur,BSC,0,76.6288,41.2344,0.029,-0.068,0.022,7,3.17
